CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Terrence Johnson (13175769),Terrence Johnson,13175769,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Thomas Marcus Jr. (13175770),Thomas Marcus Jr.,13175770,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2.7
,,,,,,,WR,Brice Vooletich (13175771),Brice Vooletich,13175771,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Zach Williams (13175772),Zach Williams,13175772,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2
,,,,,,,WR,Keliam Brunn (13175773),Keliam Brunn,13175773,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Robert Funkhouser (13175774),Robert Funkhouser,13175774,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Kahale Huddleston (13175775),Kahale Huddleston,13175775,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Nick Mardner (13175776),Nick Mardner,13175776,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Adam Netane (13175777),Adam Netane,13175777,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Nazar Bombata (13175778),Nazar Bombata,13175778,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,John son (13175779),John son,13175779,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,James Phillips (13175780),James Phillips,13175780,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Jonah Panoke (13175781),Jonah Panoke,13175781,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Jared Smart (13175782),Jared Smart,13175782,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Grey Ihu (13175783),Grey Ihu,13175783,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Karl Altenburg (13175784),Karl Altenburg,13175784,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jack Koceman (13175785),Jack Koceman,13175785,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jaden Mitchell (13175786),Jaden Mitchell,13175786,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jaden Allen (13175787),Jaden Allen,13175787,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Chance Beyer (13175788),Chance Beyer,13175788,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,John Burton (13175789),John Burton,13175789,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Devin Green (13175790),Devin Green,13175790,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jalen Johnson (13175791),Jalen Johnson,13175791,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Michael Wiley (13175792),Michael Wiley,13175792,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Thomas Aych (13175793),Thomas Aych,13175793,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Tayvian Cunningham (13175794),Tayvian Cunningham,13175794,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Connor Hutchings (13175795),Connor Hutchings,13175795,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Zach Lord (13175796),Zach Lord,13175796,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
